n = 4
  |V|   |E|   deg   Gen Set   alpha   sigma
  4     6     3     [1, 2]    1       1

n = 5
  |V|   |E|   deg   Gen Set   alpha   sigma
  5     10    4     [1, 2]    1       1

n = 6
  |V|   |E|   deg   Gen Set     alpha   sigma
  6     12    4     [1, 2]      2       2
  6     9     3     [1, 3]      3       2
  6     9     3     [2, 3]      2       1
  6     15    5     [1, 2, 3]   1       1

n = 7
  |V|   |E|   deg   Gen Set     alpha   sigma
  7     14    4     [1, 2]      2       1
  7     14    4     [1, 3]      2       1
  7     14    4     [2, 3]      2       1
  7     21    6     [1, 2, 3]   1       1

n = 8
  |V|   |E|   deg   Gen Set        alpha   sigma
  8     16    4     [1, 2]         2       1
  8     16    4     [1, 3]         4       3
  8     12    3     [1, 4]         3       1
  8     16    4     [2, 3]         2       1
  8     12    3     [3, 4]         3       1
  8     24    6     [1, 2, 3]      2       2
  8     20    5     [1, 2, 4]      2       1
  8     20    5     [1, 3, 4]      2       1
  8     20    5     [2, 3, 4]      2       1
  8     28    7     [1, 2, 3, 4]   1       1

n = 9
  |V|   |E|   deg   Gen Set        alpha   sigma
  9     18    4     [1, 2]         3       1
  9     18    4     [1, 3]         3       1
  9     18    4     [1, 4]         3       1
  9     18    4     [2, 3]         3       1
  9     18    4     [2, 4]         3       1
  9     18    4     [3, 4]         3       1
  9     27    6     [1, 2, 3]      2       1
  9     27    6     [1, 2, 4]      3       2
  9     27    6     [1, 3, 4]      2       1
  9     27    6     [2, 3, 4]      2       1
  9     36    8     [1, 2, 3, 4]   1       1

n = 10
  |V|   |E|   deg   Gen Set           alpha   sigma
  10    20    4     [1, 2]            3       1
  10    20    4     [1, 3]            5       2
  10    20    4     [1, 4]            4       2
  10    15    3     [1, 5]            5       2
  10    20    4     [2, 3]            4       2
  10    15    3     [2, 5]            4       1
  10    20    4     [3, 4]            3       1
  10    15    3     [3, 5]            5       2
  10    15    3     [4, 5]            4       1
  10    30    6     [1, 2, 3]         2       1
  10    30    6     [1, 2, 4]         2       1
  10    25    5     [1, 2, 5]         3       1
  10    30    6     [1, 3, 4]         2       1
  10    25    5     [1, 3, 5]         5       3
  10    25    5     [1, 4, 5]         2       1
  10    30    6     [2, 3, 4]         2       1
  10    25    5     [2, 3, 5]         2       1
  10    25    5     [2, 4, 5]         2       1
  10    25    5     [3, 4, 5]         3       1
  10    40    8     [1, 2, 3, 4]      2       2
  10    35    7     [1, 2, 3, 5]      2       1
  10    35    7     [1, 2, 4, 5]      2       1
  10    35    7     [1, 3, 4, 5]      2       1
  10    35    7     [2, 3, 4, 5]      2       1
  10    45    9     [1, 2, 3, 4, 5]   1       1

n = 11
  |V|   |E|   deg   Gen Set           alpha   sigma
  11    22    4     [1, 2]            3       1
  11    22    4     [1, 3]            4       1
  11    22    4     [1, 4]            4       1
  11    22    4     [1, 5]            3       1
  11    22    4     [2, 3]            4       1
  11    22    4     [2, 4]            3       1
  11    22    4     [2, 5]            4       1
  11    22    4     [3, 4]            3       1
  11    22    4     [3, 5]            3       1
  11    22    4     [4, 5]            4       1
  11    33    6     [1, 2, 3]         2       1
  11    33    6     [1, 2, 4]         3       1
  11    33    6     [1, 2, 5]         3       1
  11    33    6     [1, 3, 4]         2       1
  11    33    6     [1, 3, 5]         3       1
  11    33    6     [1, 4, 5]         2       1
  11    33    6     [2, 3, 4]         3       1
  11    33    6     [2, 3, 5]         2       1
  11    33    6     [2, 4, 5]         2       1
  11    33    6     [3, 4, 5]         3       1
  11    44    8     [1, 2, 3, 4]      2       1
  11    44    8     [1, 2, 3, 5]      2       1
  11    44    8     [1, 2, 4, 5]      2       1
  11    44    8     [1, 3, 4, 5]      2       1
  11    44    8     [2, 3, 4, 5]      2       1
  11    55    10    [1, 2, 3, 4, 5]   1       1

n = 12
  |V|   |E|   deg   Gen Set              alpha   sigma
  12    24    4     [1, 2]               4       1
  12    24    4     [1, 3]               6       2
  12    24    4     [1, 4]               4       1
  12    24    4     [1, 5]               6       2
  12    18    3     [1, 6]               5       1
  12    24    4     [2, 3]               4       1
  12    24    4     [2, 5]               4       1
  12    24    4     [3, 4]               4       1
  12    24    4     [3, 5]               6       2
  12    24    4     [4, 5]               4       1
  12    18    3     [5, 6]               5       1
  12    36    6     [1, 2, 3]            3       1
  12    36    6     [1, 2, 4]            4       2
  12    36    6     [1, 2, 5]            4       2
  12    30    5     [1, 2, 6]            3       1
  12    36    6     [1, 3, 4]            3       1
  12    36    6     [1, 3, 5]            6       4
  12    30    5     [1, 3, 6]            3       1
  12    36    6     [1, 4, 5]            4       2
  12    30    5     [1, 4, 6]            4       1
  12    30    5     [1, 5, 6]            3       1
  12    36    6     [2, 3, 4]            4       2
  12    36    6     [2, 3, 5]            3       1
  12    30    5     [2, 3, 6]            3       1
  12    36    6     [2, 4, 5]            4       2
  12    30    5     [2, 5, 6]            3       1
  12    36    6     [3, 4, 5]            3       1
  12    30    5     [3, 4, 6]            3       1
  12    30    5     [3, 5, 6]            3       1
  12    30    5     [4, 5, 6]            4       1
  12    48    8     [1, 2, 3, 4]         2       1
  12    48    8     [1, 2, 3, 5]         3       1
  12    42    7     [1, 2, 3, 6]         3       1
  12    48    8     [1, 2, 4, 5]         4       3
  12    42    7     [1, 2, 4, 6]         2       1
  12    42    7     [1, 2, 5, 6]         3       1
  12    48    8     [1, 3, 4, 5]         2       1
  12    42    7     [1, 3, 4, 6]         3       1
  12    42    7     [1, 3, 5, 6]         3       1
  12    42    7     [1, 4, 5, 6]         2       1
  12    48    8     [2, 3, 4, 5]         2       1
  12    42    7     [2, 3, 4, 6]         2       1
  12    42    7     [2, 3, 5, 6]         3       1
  12    42    7     [2, 4, 5, 6]         2       1
  12    42    7     [3, 4, 5, 6]         3       1
  12    60    10    [1, 2, 3, 4, 5]      2       2
  12    54    9     [1, 2, 3, 4, 6]      2       1
  12    54    9     [1, 2, 3, 5, 6]      3       2
  12    54    9     [1, 2, 4, 5, 6]      2       1
  12    54    9     [1, 3, 4, 5, 6]      2       1
  12    54    9     [2, 3, 4, 5, 6]      2       1
  12    66    11    [1, 2, 3, 4, 5, 6]   1       1

n = 13
  |V|   |E|   deg   Gen Set              alpha   sigma
  13    26    4     [1, 2]               4       1
  13    26    4     [1, 3]               5       1
  13    26    4     [1, 4]               5       1
  13    26    4     [1, 5]               4       1
  13    26    4     [1, 6]               4       1
  13    26    4     [2, 3]               4       1
  13    26    4     [2, 4]               4       1
  13    26    4     [2, 5]               5       1
  13    26    4     [2, 6]               5       1
  13    26    4     [3, 4]               5       1
  13    26    4     [3, 5]               4       1
  13    26    4     [3, 6]               4       1
  13    26    4     [4, 5]               4       1
  13    26    4     [4, 6]               4       1
  13    26    4     [5, 6]               5       1
  13    39    6     [1, 2, 3]            3       1
  13    39    6     [1, 2, 4]            3       1
  13    39    6     [1, 2, 5]            4       1
  13    39    6     [1, 2, 6]            3       1
  13    39    6     [1, 3, 4]            3       1
  13    39    6     [1, 3, 5]            4       1
  13    39    6     [1, 3, 6]            3       1
  13    39    6     [1, 4, 5]            3       1
  13    39    6     [1, 4, 6]            4       1
  13    39    6     [1, 5, 6]            3       1
  13    39    6     [2, 3, 4]            4       1
  13    39    6     [2, 3, 5]            3       1
  13    39    6     [2, 3, 6]            4       1
  13    39    6     [2, 4, 5]            3       1
  13    39    6     [2, 4, 6]            3       1
  13    39    6     [2, 5, 6]            3       1
  13    39    6     [3, 4, 5]            3       1
  13    39    6     [3, 4, 6]            3       1
  13    39    6     [3, 5, 6]            3       1
  13    39    6     [4, 5, 6]            4       1
  13    52    8     [1, 2, 3, 4]         2       1
  13    52    8     [1, 2, 3, 5]         2       1
  13    52    8     [1, 2, 3, 6]         3       1
  13    52    8     [1, 2, 4, 5]         3       1
  13    52    8     [1, 2, 4, 6]         3       1
  13    52    8     [1, 2, 5, 6]         2       1
  13    52    8     [1, 3, 4, 5]         2       1
  13    52    8     [1, 3, 4, 6]         2       1
  13    52    8     [1, 3, 5, 6]         3       1
  13    52    8     [1, 4, 5, 6]         2       1
  13    52    8     [2, 3, 4, 5]         3       1
  13    52    8     [2, 3, 4, 6]         2       1
  13    52    8     [2, 3, 5, 6]         2       1
  13    52    8     [2, 4, 5, 6]         2       1
  13    52    8     [3, 4, 5, 6]         3       1
  13    65    10    [1, 2, 3, 4, 5]      2       1
  13    65    10    [1, 2, 3, 4, 6]      2       1
  13    65    10    [1, 2, 3, 5, 6]      2       1
  13    65    10    [1, 2, 4, 5, 6]      2       1
  13    65    10    [1, 3, 4, 5, 6]      2       1
  13    65    10    [2, 3, 4, 5, 6]      2       1
  13    78    12    [1, 2, 3, 4, 5, 6]   1       1

n = 14
  |V|   |E|   deg   Gen Set                 alpha   sigma
  14    28    4     [1, 2]                  4       1
  14    28    4     [1, 3]                  7       2
  14    28    4     [1, 4]                  5       1
  14    28    4     [1, 5]                  7       2
  14    28    4     [1, 6]                  6       2
  14    21    3     [1, 7]                  7       2
  14    28    4     [2, 3]                  5       1
  14    28    4     [2, 5]                  6       2
  14    21    3     [2, 7]                  6       1
  14    28    4     [3, 4]                  6       2
  14    28    4     [3, 5]                  7       2
  14    28    4     [3, 6]                  4       1
  14    21    3     [3, 7]                  7       2
  14    28    4     [4, 5]                  4       1
  14    21    3     [4, 7]                  6       1
  14    28    4     [5, 6]                  5       1
  14    21    3     [5, 7]                  7       2
  14    21    3     [6, 7]                  6       1
  14    42    6     [1, 2, 3]               3       1
  14    42    6     [1, 2, 4]               4       1
  14    42    6     [1, 2, 5]               4       1
  14    42    6     [1, 2, 6]               4       2
  14    35    5     [1, 2, 7]               4       1
  14    42    6     [1, 3, 4]               4       2
  14    42    6     [1, 3, 5]               7       3
  14    42    6     [1, 3, 6]               4       1
  14    35    5     [1, 3, 7]               7       3
  14    42    6     [1, 4, 5]               3       1
  14    42    6     [1, 4, 6]               4       1
  14    35    5     [1, 4, 7]               5       1
  14    42    6     [1, 5, 6]               4       2
  14    35    5     [1, 5, 7]               7       3
  14    35    5     [1, 6, 7]               3       1
  14    42    6     [2, 3, 4]               4       1
  14    42    6     [2, 3, 5]               4       2
  14    42    6     [2, 3, 6]               4       1
  14    35    5     [2, 3, 7]               5       1
  14    42    6     [2, 4, 5]               4       2
  14    35    5     [2, 4, 7]               4       1
  14    42    6     [2, 5, 6]               4       1
  14    35    5     [2, 5, 7]               3       1
  14    35    5     [2, 6, 7]               4       1
  14    42    6     [3, 4, 5]               4       1
  14    42    6     [3, 4, 6]               4       2
  14    35    5     [3, 4, 7]               3       1
  14    42    6     [3, 5, 6]               3       1
  14    35    5     [3, 5, 7]               7       3
  14    35    5     [3, 6, 7]               4       1
  14    42    6     [4, 5, 6]               4       1
  14    35    5     [4, 5, 7]               4       1
  14    35    5     [4, 6, 7]               4       1
  14    35    5     [5, 6, 7]               5       1
  14    56    8     [1, 2, 3, 4]            2       1
  14    56    8     [1, 2, 3, 5]            3       1
  14    56    8     [1, 2, 3, 6]            3       1
  14    49    7     [1, 2, 3, 7]            3       1
  14    56    8     [1, 2, 4, 5]            3       1
  14    56    8     [1, 2, 4, 6]            2       1
  14    49    7     [1, 2, 4, 7]            4       1
  14    56    8     [1, 2, 5, 6]            4       2
  14    49    7     [1, 2, 5, 7]            3       1
  14    49    7     [1, 2, 6, 7]            3       1
  14    56    8     [1, 3, 4, 5]            3       1
  14    56    8     [1, 3, 4, 6]            4       2
  14    49    7     [1, 3, 4, 7]            3       1
  14    56    8     [1, 3, 5, 6]            3       1
  14    49    7     [1, 3, 5, 7]            7       4
  14    49    7     [1, 3, 6, 7]            3       1
  14    56    8     [1, 4, 5, 6]            2       1
  14    49    7     [1, 4, 5, 7]            3       1
  14    49    7     [1, 4, 6, 7]            3       1
  14    49    7     [1, 5, 6, 7]            3       1
  14    56    8     [2, 3, 4, 5]            4       2
  14    56    8     [2, 3, 4, 6]            2       1
  14    49    7     [2, 3, 4, 7]            3       1
  14    56    8     [2, 3, 5, 6]            2       1
  14    49    7     [2, 3, 5, 7]            3       1
  14    49    7     [2, 3, 6, 7]            4       1
  14    56    8     [2, 4, 5, 6]            2       1
  14    49    7     [2, 4, 5, 7]            3       1
  14    49    7     [2, 4, 6, 7]            2       1
