n = 5
  |V|   |E|   deg   Gen Set   alpha   sigma
  5     10    4     [1, 2]    1       1

n = 7
  |V|   |E|   deg   Gen Set     alpha   sigma
  7     14    4     [1, 2]      2       1
  7     14    4     [1, 3]      2       1
  7     14    4     [2, 3]      2       1
  7     21    6     [1, 2, 3]   1       1

n = 8
  |V|   |E|   deg   Gen Set   alpha   sigma
  8     16    4     [1, 3]    4       3

n = 9
  |V|   |E|   deg   Gen Set     alpha   sigma
  9     18    4     [1, 2]      3       1
  9     18    4     [1, 4]      3       1
  9     18    4     [2, 4]      3       1
  9     27    6     [1, 2, 4]   3       2

n = 10
  |V|   |E|   deg   Gen Set   alpha   sigma
  10    20    4     [1, 3]    5       2

n = 11
  |V|   |E|   deg   Gen Set           alpha   sigma
  11    22    4     [1, 2]            3       1
  11    22    4     [1, 3]            4       1
  11    22    4     [1, 4]            4       1
  11    22    4     [1, 5]            3       1
  11    22    4     [2, 3]            4       1
  11    22    4     [2, 4]            3       1
  11    22    4     [2, 5]            4       1
  11    22    4     [3, 4]            3       1
  11    22    4     [3, 5]            3       1
  11    22    4     [4, 5]            4       1
  11    33    6     [1, 2, 3]         2       1
  11    33    6     [1, 2, 4]         3       1
  11    33    6     [1, 2, 5]         3       1
  11    33    6     [1, 3, 4]         2       1
  11    33    6     [1, 3, 5]         3       1
  11    33    6     [1, 4, 5]         2       1
  11    33    6     [2, 3, 4]         3       1
  11    33    6     [2, 3, 5]         2       1
  11    33    6     [2, 4, 5]         2       1
  11    33    6     [3, 4, 5]         3       1
  11    44    8     [1, 2, 3, 4]      2       1
  11    44    8     [1, 2, 3, 5]      2       1
  11    44    8     [1, 2, 4, 5]      2       1
  11    44    8     [1, 3, 4, 5]      2       1
  11    44    8     [2, 3, 4, 5]      2       1
  11    55    10    [1, 2, 3, 4, 5]   1       1

n = 12
  |V|   |E|   deg   Gen Set   alpha   sigma
  12    24    4     [1, 5]    6       2

n = 13
  |V|   |E|   deg   Gen Set              alpha   sigma
  13    26    4     [1, 2]               4       1
  13    26    4     [1, 3]               5       1
  13    26    4     [1, 4]               5       1
  13    26    4     [1, 5]               4       1
  13    26    4     [1, 6]               4       1
  13    26    4     [2, 3]               4       1
  13    26    4     [2, 4]               4       1
  13    26    4     [2, 5]               5       1
  13    26    4     [2, 6]               5       1
  13    26    4     [3, 4]               5       1
  13    26    4     [3, 5]               4       1
  13    26    4     [3, 6]               4       1
  13    26    4     [4, 5]               4       1
  13    26    4     [4, 6]               4       1
  13    26    4     [5, 6]               5       1
  13    39    6     [1, 2, 3]            3       1
  13    39    6     [1, 2, 4]            3       1
  13    39    6     [1, 2, 5]            4       1
  13    39    6     [1, 2, 6]            3       1
