  n    |V|   |E|   deg   Gen Set                                           alpha   sigma
  4    4     4     2     [1]                                               2       2
  5    5     10    4     [1, 2]                                            1       1
  6    6     6     2     [1]                                               3       1
  7    7     21    6     [1, 2, 3]                                         1       1
  8    8     16    4     [1, 3]                                            4       3
  9    9     27    6     [1, 2, 4]                                         3       2
  10   10    20    4     [1, 3]                                            5       2
  11   11    55    10    [1, 2, 3, 4, 5]                                   1       1
  12   12    24    4     [1, 5]                                            6       2
  13   13    78    12    [1, 2, 3, 4, 5, 6]                                1       1
  14   14    42    6     [1, 3, 5]                                         7       3
  15   15    60    8     [1, 2, 4, 7]                                      5       2
  16   16    64    8     [1, 3, 5, 7]                                      8       5
  17   17    136   16    [1, 2, 3, 4, 5, 6, 7, 8]                          1       1
  18   18    54    6     [1, 5, 7]                                         9       3
  19   19    171   18    [1, 2, 3, 4, 5, 6, 7, 8, 9]                       1       1
  20   20    80    8     [1, 3, 7, 9]                                      10      4
  21   21    126   12    [1, 2, 4, 5, 8, 10]                               7       3
  22   22    110   10    [1, 3, 5, 7, 9]                                   11      5
  23   23    253   22    [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]               1       1
  24   24    96    8     [1, 5, 7, 11]                                     12      4
  25   25    250   20    [1, 2, 3, 4, 6, 7, 8, 9, 11, 12]                  5       3
  26   26    156   12    [1, 3, 5, 7, 9, 11]                               13      6
  27   27    243   18    [1, 2, 4, 5, 7, 8, 10, 11, 13]                    9       5
  28   28    168   12    [1, 3, 5, 9, 11, 13]                              14      6
  29   29    406   28    [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]   1       1
  30   30    120   8     [1, 7, 11, 13]                                    15      3
