n = 1
  m    |V|   |E|   deg   alpha   sigma
  1    2     1     1     1       1
  2    3     3     2     1       1
  3    4     6     3     1       1
  4    5     10    4     1       1
  5    6     15    5     1       1
  6    7     21    6     1       1
  7    8     28    7     1       1
  8    9     36    8     1       1
  9    10    45    9     1       1
  10   11    55    10    1       1

n = 2
  m    |V|   |E|   deg   alpha   sigma
  1    3     2     2     2       2
  2    4     5     3     2       2
  3    5     9     4     2       2
  4    6     14    5     2       2
  5    7     20    6     2       2
  6    8     27    7     2       2
  7    9     35    8     2       2
  8    10    44    9     2       2
  9    11    54    10    2       2
  10   12    65    11    2       2

n = 3
  m    |V|   |E|   deg   alpha   sigma
  1    4     3     3     3       3
  2    5     7     4     3       3
  3    6     12    5     3       3
  4    7     18    6     3       3
  5    8     25    7     3       3
  6    9     33    8     3       3
  7    10    42    9     3       3
  8    11    52    10    3       3
  9    12    63    11    3       3
  10   13    75    12    3       3

n = 4
  m    |V|   |E|   deg   alpha   sigma
  1    5     4     4     4       4
  2    6     9     5     4       4
  3    7     15    6     4       4
  4    8     22    7     4       4
  5    9     30    8     4       4
  6    10    39    9     4       4
  7    11    49    10    4       4
  8    12    60    11    4       4
  9    13    72    12    4       4
  10   14    85    13    4       4

n = 5
  m    |V|   |E|   deg   alpha   sigma
  1    6     5     5     5       5
  2    7     11    6     5       5
  3    8     18    7     5       5
  4    9     26    8     5       5
  5    10    35    9     5       5
  6    11    45    10    5       5
  7    12    56    11    5       5
  8    13    68    12    5       5
  9    14    81    13    5       5
  10   15    95    14    5       5

n = 6
  m    |V|   |E|   deg   alpha   sigma
  1    7     6     6     6       6
  2    8     13    7     6       6
  3    9     21    8     6       6
  4    10    30    9     6       6
  5    11    40    10    6       6
  6    12    51    11    6       6
  7    13    63    12    6       6
  8    14    76    13    6       6
  9    15    90    14    6       6
  10   16    105   15    6       6

n = 7
  m    |V|   |E|   deg   alpha   sigma
  1    8     7     7     7       7
  2    9     15    8     7       7
  3    10    24    9     7       7
  4    11    34    10    7       7
  5    12    45    11    7       7
  6    13    57    12    7       7
  7    14    70    13    7       7
  8    15    84    14    7       7
  9    16    99    15    7       7
  10   17    115   16    7       7

n = 8
  m    |V|   |E|   deg   alpha   sigma
  1    9     8     8     8       8
  2    10    17    9     8       8
  3    11    27    10    8       8
  4    12    38    11    8       8
  5    13    50    12    8       8
  6    14    63    13    8       8
  7    15    77    14    8       8
  8    16    92    15    8       8
  9    17    108   16    8       8
  10   18    125   17    8       8

n = 9
  m    |V|   |E|   deg   alpha   sigma
  1    10    9     9     9       9
  2    11    19    10    9       9
  3    12    30    11    9       9
  4    13    42    12    9       9
  5    14    55    13    9       9
  6    15    69    14    9       9
  7    16    84    15    9       9
  8    17    100   16    9       9
  9    18    117   17    9       9
  10   19    135   18    9       9

n = 10
  m    |V|   |E|   deg   alpha   sigma
  1    11    10    10    10      10
  2    12    21    11    10      10
  3    13    33    12    10      10
  4    14    46    13    10      10
  5    15    60    14    10      10
  6    16    75    15    10      10
  7    17    91    16    10      10
  8    18    108   17    10      10
  9    19    126   18    10      10
  10   20    145   19    10      10

