  n    |V|   |E|   deg   Gen Set    alpha   sigma
  4    8     8     2     [4, 5]     4       1
  5    10    10    2     [5, 6]     5       1
  6    12    12    2     [6, 7]     6       1
  7    14    14    2     [7, 8]     7       1
  8    16    16    2     [8, 9]     8       1
  9    18    18    2     [9, 10]    9       1
  10   20    20    2     [10, 11]   10      1
  11   22    22    2     [11, 12]   11      1
  12   24    24    2     [12, 13]   12      1
  13   26    26    2     [13, 14]   13      1
  14   28    28    2     [14, 15]   14      1
  15   30    30    2     [15, 16]   15      1
