n = 4
  |V|   |E|   deg   Gen Set     alpha   sigma
  8     16    4     [1, 2, 4]   2       1

n = 5
  |V|   |E|   deg   Gen Set     alpha   sigma
  10    25    5     [1, 2, 5]   2       1

n = 6
  |V|   |E|   deg   Gen Set        alpha   sigma
  12    30    5     [1, 2, 6]      4       2
  12    24    4     [1, 3, 6]      6       3
  12    24    4     [2, 3, 6]      4       1
  12    36    6     [1, 2, 3, 6]   2       1

n = 7
  |V|   |E|   deg   Gen Set        alpha   sigma
  14    35    5     [1, 2, 7]      4       1
  14    35    5     [1, 3, 7]      4       1
  14    35    5     [2, 3, 7]      4       1
  14    49    7     [1, 2, 3, 7]   2       1

n = 8
  |V|   |E|   deg   Gen Set           alpha   sigma
  16    40    5     [1, 2, 8]         4       1
  16    40    5     [1, 3, 8]         8       3
  16    32    4     [1, 4, 8]         6       1
  16    40    5     [2, 3, 8]         4       1
  16    32    4     [3, 4, 8]         6       1
  16    56    7     [1, 2, 3, 8]      4       2
  16    48    6     [1, 2, 4, 8]      4       1
  16    48    6     [1, 3, 4, 8]      4       1
  16    48    6     [2, 3, 4, 8]      4       1
  16    64    8     [1, 2, 3, 4, 8]   2       1

n = 9
  |V|   |E|   deg   Gen Set           alpha   sigma
  18    45    5     [1, 2, 9]         6       1
  18    45    5     [1, 3, 9]         6       1
  18    45    5     [1, 4, 9]         6       1
  18    45    5     [2, 3, 9]         6       1
  18    45    5     [2, 4, 9]         6       1
  18    45    5     [3, 4, 9]         6       1
  18    63    7     [1, 2, 3, 9]      4       1
  18    63    7     [1, 2, 4, 9]      6       2
  18    63    7     [1, 3, 4, 9]      4       1
  18    63    7     [2, 3, 4, 9]      4       1
  18    81    9     [1, 2, 3, 4, 9]   2       1

n = 10
  |V|   |E|   deg   Gen Set               alpha   sigma
  20    50    5     [1, 2, 10]            6       1
  20    50    5     [1, 3, 10]            10      3
  20    50    5     [1, 4, 10]            8       2
  20    40    4     [1, 5, 10]            10      2
  20    50    5     [2, 3, 10]            8       2
  20    40    4     [2, 5, 10]            8       1
  20    50    5     [3, 4, 10]            6       1
  20    40    4     [3, 5, 10]            10      2
  20    40    4     [4, 5, 10]            8       1
  20    70    7     [1, 2, 3, 10]         4       1
  20    70    7     [1, 2, 4, 10]         4       1
  20    60    6     [1, 2, 5, 10]         6       1
  20    70    7     [1, 3, 4, 10]         4       1
  20    60    6     [1, 3, 5, 10]         10      4
  20    60    6     [1, 4, 5, 10]         4       1
  20    70    7     [2, 3, 4, 10]         4       1
  20    60    6     [2, 3, 5, 10]         4       1
