n = 4
  |V|   |E|   deg   Gen Set                 alpha   sigma
  8     16    4     [1, 4, 5]               2       1
  8     16    4     [1, 4, 6]               4       3
  8     16    4     [1, 4, 7]               2       1
  8     16    4     [1, 5, 6]               2       1
  8     16    4     [1, 5, 7]               4       3
  8     16    4     [1, 6, 7]               2       1
  8     12    3     [2, 4, 5]               3       1
  8     12    3     [2, 4, 7]               3       1
  8     12    3     [2, 5, 6]               3       1
  8     12    3     [2, 6, 7]               3       1
  8     16    4     [3, 4, 5]               2       1
  8     16    4     [3, 4, 6]               4       3
  8     16    4     [3, 4, 7]               2       1
  8     16    4     [3, 5, 6]               2       1
  8     16    4     [3, 5, 7]               4       3
  8     16    4     [3, 6, 7]               2       1
  8     20    5     [1, 2, 4, 5]            2       1
  8     20    5     [1, 2, 4, 6]            2       1
  8     20    5     [1, 2, 4, 7]            2       1
  8     20    5     [1, 2, 5, 6]            2       1
  8     20    5     [1, 2, 5, 7]            2       1
  8     20    5     [1, 2, 6, 7]            2       1
  8     16    4     [1, 3, 4, 5]            2       1
  8     16    4     [1, 3, 4, 6]            4       3
  8     16    4     [1, 3, 4, 7]            2       1
  8     16    4     [1, 3, 5, 6]            2       1
  8     16    4     [1, 3, 5, 7]            4       3
  8     16    4     [1, 3, 6, 7]            2       1
  8     20    5     [1, 4, 5, 6]            2       1
  8     20    5     [1, 4, 5, 7]            2       1
  8     20    5     [1, 4, 6, 7]            2       1
  8     20    5     [1, 5, 6, 7]            2       1
  8     20    5     [2, 3, 4, 5]            2       1
  8     20    5     [2, 3, 4, 6]            2       1
  8     20    5     [2, 3, 4, 7]            2       1
  8     20    5     [2, 3, 5, 6]            2       1
  8     20    5     [2, 3, 5, 7]            2       1
  8     20    5     [2, 3, 6, 7]            2       1
  8     16    4     [2, 4, 5, 6]            2       1
  8     16    4     [2, 4, 5, 7]            2       1
  8     16    4     [2, 4, 6, 7]            2       1
  8     16    4     [2, 5, 6, 7]            2       1
  8     20    5     [3, 4, 5, 6]            2       1
  8     20    5     [3, 4, 5, 7]            2       1
  8     20    5     [3, 4, 6, 7]            2       1
  8     20    5     [3, 5, 6, 7]            2       1
  8     20    5     [1, 2, 3, 4, 5]         2       1
  8     20    5     [1, 2, 3, 4, 6]         2       1
  8     20    5     [1, 2, 3, 4, 7]         2       1
