n = 6
  |V|   |E|   deg   Gen Set      alpha   sigma
  12    24    4     [2, 6, 9]    4       1
  12    24    4     [2, 7, 10]   4       1
  12    24    4     [2, 8, 11]   4       1
  12    18    3     [3, 6, 8]    6       2
  12    18    3     [3, 6, 10]   6       2
  12    18    3     [3, 7, 9]    6       2
  12    18    3     [3, 7, 11]   6       2
  12    18    3     [3, 8, 10]   6       2
  12    18    3     [3, 9, 11]   6       2
  12    24    4     [4, 6, 9]    4       1
  12    24    4     [4, 7, 10]   4       1
  12    24    4     [4, 8, 11]   4       1

n = 10
  |V|   |E|   deg   Gen Set       alpha   sigma
  20    40    4     [2, 10, 15]   8       1
  20    40    4     [2, 11, 16]   8       1
  20    40    4     [2, 12, 17]   8       1
  20    40    4     [2, 13, 18]   8       1
  20    40    4     [2, 14, 19]   8       1
  20    40    4     [4, 10, 15]   8       1
  20    40    4     [4, 11, 16]   8       1
  20    40    4     [4, 12, 17]   8       1
  20    40    4     [4, 13, 18]   8       1
  20    40    4     [4, 14, 19]   8       1
  20    30    3     [5, 10, 12]   10      2
  20    30    3     [5, 10, 14]   10      2
  20    30    3     [5, 10, 16]   10      2
  20    30    3     [5, 10, 18]   10      2
  20    30    3     [5, 11, 13]   10      2
  20    30    3     [5, 11, 15]   10      2
  20    30    3     [5, 11, 17]   10      2
  20    30    3     [5, 11, 19]   10      2
  20    30    3     [5, 12, 14]   10      2
  20    30    3     [5, 12, 16]   10      2
  20    30    3     [5, 12, 18]   10      2
  20    30    3     [5, 13, 15]   10      2
  20    30    3     [5, 13, 17]   10      2
  20    30    3     [5, 13, 19]   10      2
  20    30    3     [5, 14, 16]   10      2
  20    30    3     [5, 14, 18]   10      2
  20    30    3     [5, 15, 17]   10      2
  20    30    3     [5, 15, 19]   10      2
  20    30    3     [5, 16, 18]   10      2
  20    30    3     [5, 17, 19]   10      2
  20    40    4     [6, 10, 15]   8       1
  20    40    4     [6, 11, 16]   8       1
  20    40    4     [6, 12, 17]   8       1
  20    40    4     [6, 13, 18]   8       1
  20    40    4     [6, 14, 19]   8       1
  20    40    4     [8, 10, 15]   8       1
  20    40    4     [8, 11, 16]   8       1
  20    40    4     [8, 12, 17]   8       1
  20    40    4     [8, 13, 18]   8       1
  20    40    4     [8, 14, 19]   8       1

